Symbol,ShortName,violation_year,feature_year,ann_related,ann_fin_flag,third_party_flag,roe,roa,debt_ratio,current_ratio,asset_turnover,net_margin,ocf_to_rev,ts_code,name,industry,area,list_date,p_ml,rule_score_sum,rule_score_norm,n_rules_triggered,rule_ids,risk_score,risk_level
600811,*ST 东方,2025,2024,0.0,,,-0.113304856155888,-0.0491664731678423,0.5660691444663442,0.7965322544352252,0.0245146005437653,-2.00559960502177,0.1141093837077749,600811.SH,*ST东方(退),未分类,未知,19940106.0,0.7330968090559272,55.0,0.44,3,R1;R4;R5,0.6158580854335564,高风险
600800,*ST 磁卡,2006,2005,,,,-0.5801931851112303,-0.1027166359962697,0.822961319380927,0.8618315255212378,0.061068340617205,-1.6819948758740446,0.0639615975839601,600800.SH,渤海化学,化工原料,天津,19931206.0,0.6481631974885328,70.0,0.56,4,R1;R3;R4;R5,0.6128979184931197,高风险
300309,*ST 吉艾,2021,2020,0.0,,,-5.100015574648858,-0.1049297579206735,0.9794256004937988,0.8004510583327705,0.0343546088342031,-3.0543138601015403,0.1088246483343937,300309.SZ,吉艾退(退),未分类,未知,20120410.0,0.6473364079106355,70.0,0.56,4,R1;R3;R4;R5,0.6124018447463813,高风险
603398,*ST 沐邦,2023,2022,1.0,1.0,1.0,-0.3199018525796208,-0.0721050576159837,0.7746025631469656,0.5179115074540573,0.2972375740305815,-0.2425839258416405,0.1758870770219087,603398.SH,*ST沐邦,电气设备,江西,20151209.0,0.6457184160971497,70.0,0.56,4,R1;R3;R4;R5,0.6114310496582899,高风险
600823,ST 世茂,2023,2022,0.0,,,-0.1789890751313794,-0.0559944672487395,0.6871626538790755,0.975060223910288,0.0440534255091304,-1.2710581890421722,0.1051248463325496,600823.SH,*ST世茂(退),未分类,未知,19940204.0,0.7248875091642344,55.0,0.44,3,R1;R4;R5,0.6109325054985406,高风险
601011,宝泰隆,2025,2024,0.0,,,-0.0862193265347752,-0.0451294937501145,0.476573344238403,0.1583187337511818,0.1082777941376346,-0.4167936196848382,0.2423421281685849,601011.SH,宝泰隆,焦炭加工,黑龙江,20110309.0,0.7246695739693827,55.0,0.44,3,R1;R4;R5,0.6108017443816296,高风险
603377,东方时尚,2023,2022,0.0,,,-0.0238633556988513,-0.0111349616204985,0.5333865965449888,0.5293596840392589,0.1970607128650691,-0.0565052336338743,0.1559702968175627,603377.SH,ST东时,汽车服务,北京,20160205.0,0.724313332041514,55.0,0.44,3,R1;R4;R5,0.6105879992249085,高风险
300392,*ST 腾信,2022,2021,0.0,,,-0.309852044968614,-0.0679824973257301,0.780596906072973,0.951645104662148,0.2290990740934353,-0.2967384202434808,-1.0773085267416556,300392.SZ,腾信退(退),未分类,未知,20140910.0,0.6443049103209606,70.0,0.56,4,R1;R3;R4;R5,0.6105829461925764,高风险
601929,吉视传媒,2023,2022,1.0,1.0,0.0,-0.0610003746117689,-0.0291415351286997,0.5222728497297228,0.498517469128905,0.123410713106388,-0.2361345655913831,0.3778808186509486,601929.SH,吉视传媒,影视音像,吉林,20120223.0,0.7239850714885552,55.0,0.44,3,R1;R4;R5,0.6103910428931331,高风险
300023,宝德股份,2018,2017,1.0,1.0,0.0,0.0279252504075234,0.004691769095313,0.831988289206208,0.7556884653858061,0.1065428561564927,0.0440364494116965,-0.3713290656178127,300023.SZ,宝德退(退),未分类,未知,20091030.0,0.6171383865774163,75.0,0.6,4,R2;R3;R4;R5,0.6102830319464497,高风险
600856,退市中天,2020,2019,1.0,1.0,0.0,-5.29314204637683,-0.4125678147227007,0.9220561603849072,0.4681050834461366,0.0967102646987491,-4.266018876153866,0.3025407307911557,600856.SH,退市中天(退),未分类,未知,19940425.0,0.643127673146433,70.0,0.56,4,R1;R3;R4;R5,0.6098766038878598,高风险
300742,*ST 越博,2021,2020,0.0,,,0.0127974657028795,0.0031421160204963,0.7544735736397135,0.7674032021304601,0.2070507882603634,0.0151755810586201,-0.4765934557123519,300742.SZ,越博退(退),未分类,未知,20180508.0,0.6148762054091585,75.0,0.6,4,R2;R3;R4;R5,0.6089257232454951,高风险
600781,ST 辅仁,2022,2021,1.0,0.0,,-4.248955405443956,-0.3893950848527484,0.908355101973102,0.617606341589103,0.1812438065639504,-2.1484600893954053,0.0519987629706606,600781.SH,退市辅仁(退),未分类,未知,19961218.0,0.6397922907225027,70.0,0.56,4,R1;R3;R4;R5,0.6078753744335016,高风险
300388,国祯环保,2017,2016,0.0,,,0.0891915657453346,0.0271395272793953,0.6957164385152081,0.9830285787370704,0.2700282390309685,0.1005062558523105,-0.3562635644122197,300388.SZ,节能国祯,环境保护,安徽,20140801.0,0.6862618291608449,60.0,0.48,3,R2;R4;R5,0.603757097496507,高风险
600281,太化股份,2014,2013,1.0,1.0,1.0,-0.4075345027788524,-0.1137907028329545,0.7207826526170158,0.6881783863367641,1.2786199169534571,-0.0889949400319693,-0.1201920947755675,600281.SH,华阳新材,小金属,山西,20001109.0,0.6796140436952693,60.0,0.48,3,R1;R3;R4,0.5997684262171616,高风险
600247,ST 成城,2015,2014,1.0,0.0,,-6.990241518158741,-0.3975868499449208,0.9431225875512173,0.8884882874032488,0.0259361808378464,-15.329429279917584,0.0985092795038367,600247.SH,*ST成城(退),未分类,未知,20001123.0,0.6248072583348637,70.0,0.56,4,R1;R3;R4;R5,0.5988843550009182,高风险
600706,曲江文旅,2024,2023,1.0,1.0,0.0,-0.241957803116521,-0.054486420778384,0.7748102351873947,0.7872814684970536,0.4131994047551193,-0.1318647126577425,0.1684754554471612,600706.SH,曲江文旅,旅游景点,陕西,19960516.0,0.6780355303986902,60.0,0.48,3,R1;R3;R4,0.5988213182392141,高风险
600319,ST 亚星,2021,2020,0.0,,,-0.6611965298326338,-0.0141912496197443,0.9785370173927916,0.0946625983487797,0.0272464804665077,-0.5208470737051223,-0.7210668313532094,600319.SH,亚星化学,化工原料,山东,20010326.0,0.6224446445294514,70.0,0.56,4,R1;R3;R4;R5,0.5974667867176708,高风险
600556,ST 慧球,2017,2016,0.0,,,-0.3542988000357648,-0.0919670467083677,0.7404251815160422,1.308397721077979,0.1626779241382533,-0.5653320645412753,0.1686505438071153,600556.SH,天下秀,互联网,广西,20010807.0,0.7273733575920002,50.0,0.4,3,R1;R3;R5,0.5964240145552001,高风险
300116,保力新,2019,2018,0.0,,,-19.67240552877056,-0.2241514640430798,0.9886057928342692,0.8632515673505882,0.227117306008679,-0.986941365157414,0.0725039615659828,300116.SZ,*ST保力(退),未分类,未知,20100902.0,0.6204087369009019,70.0,0.56,4,R1;R3;R4;R5,0.5962452421405412,高风险
601106,中国一重,2013,2012,0.0,,,0.001567210308246,0.0007333587773074,0.5320610300680051,2.0513679405882055,0.2298801762549114,0.0031901784192746,-0.2253031869709405,601106.SH,中国一重,工程机械,黑龙江,20100209.0,0.779962228934246,40.0,0.32,2,R2;R5,0.5959773373605476,高风险
300077,国民技术,2019,2018,1.0,1.0,0.0,-1.689841352620082,-0.62678835976243,0.6290844943576502,0.7744861851649334,0.2113064874484029,-2.966252325383431,0.6190994363144949,300077.SZ,国民技术,半导体,深圳,20100430.0,0.6922212508051077,55.0,0.44,3,R1;R4;R5,0.5913327504830646,高风险
600748,上实发展,2016,2015,1.0,1.0,0.0,0.1096719071881631,0.0221656692885888,0.7978910930165602,1.9635760363710035,0.2426812242837335,0.0913365644746939,-0.2039723035625698,600748.SH,上实发展,全国地产,上海,19960925.0,0.6842339104072342,55.0,0.44,3,R2;R3;R5,0.5865403462443406,高风险
600749,西藏旅游,2015,2014,0.0,,,-0.0540454666060485,-0.0258724622796391,0.5212833951785396,0.4936319122922467,0.1197275682538932,-0.2160944438859247,-0.0860809121943499,600749.SH,西藏旅游,旅游景点,西藏,19961015.0,0.6840878724359948,55.0,0.44,3,R1;R4;R5,0.5864527234615968,高风险
300152,ST 新动力,2025,2024,0.0,,,-0.1971095513856205,-0.0627123232971991,0.6818402616395275,0.8738007309225918,0.2513618979099289,-0.2494901726102935,0.1620500494148807,300152.SZ,*ST动力,环境保护,河北,20101229.0,0.683858273292645,55.0,0.44,3,R1;R4;R5,0.586314963975587,高风险
300297,*ST 蓝盾,2022,2021,0.0,,,-1.3659371215377216,-0.2623154079081556,0.8079593827768218,0.7754155647876705,0.047027536143131,-5.577910930944451,-0.81865546902146,300297.SZ,蓝盾退(退),未分类,未知,20120315.0,0.6036957393484002,70.0,0.56,4,R1;R3;R4;R5,0.5862174436090402,高风险
600653,申华控股,2018,2017,1.0,1.0,0.0,-0.2310811572715175,-0.0557221560059203,0.7588632640416997,0.7649313111212297,0.5837629134962521,-0.0954534019165267,-0.0807279285703792,600653.SH,申华控股,汽车服务,辽宁,19901219.0,0.6563805487710169,60.0,0.48,3,R1;R3;R4,0.5858283292626101,高风险
600123,兰花科创,2015,2014,1.0,1.0,0.0,-0.0016584590098948,-0.000775844016218,0.5321898150095474,1.2447678214135602,0.2388986460683169,-0.0032475864932116,0.0156101440047348,600123.SH,兰花科创,煤炭开采,山西,19981217.0,0.7881647127468874,35.0,0.28,2,R1;R5,0.5848988276481324,高风险
300237,美晨科技,2024,2023,0.0,,,-2.8496543788788147,-0.1684752837338187,0.9408786956823498,0.953419732223285,0.20195897012507,-0.8342055004018125,0.0298891520273104,300237.SZ,ST美晨,汽车配件,山东,20110629.0,0.6012519236844718,70.0,0.56,4,R1;R3;R4;R5,0.5847511542106831,高风险
600421,ST 仰帆,2019,2018,1.0,1.0,0.0,-0.9289802025856392,-0.2389835810672172,0.7427463142895274,0.2647698717655362,0.0215799531389608,-11.074332716494746,-0.0541782390388615,600421.SH,退市华嵘,未分类,未知,20040607.0,0.5987230727650458,70.0,0.56,4,R1;R3;R4;R5,0.5832338436590274,高风险
601005,重庆钢铁,2016,2015,1.0,1.0,0.0,-1.4937540963442708,-0.1526250112833718,0.8978245404267693,0.1866338999807988,0.2128582946924319,-0.7170263743017683,-0.2009789914325974,601005.SH,重庆钢铁,普钢,重庆,20070228.0,0.5976156455658931,70.0,0.56,4,R1;R3;R4;R5,0.5825693873395359,高风险
300108,*ST 吉药,2021,2020,,,,-15.37082528164225,-0.1525994019113733,0.9900721399719749,0.4426439539563572,0.2367170327029407,-0.6446490147706114,-0.218631145919585,300108.SZ,*ST吉药(退),未分类,未知,20100825.0,0.5968988231028408,70.0,0.56,4,R1;R3;R4;R5,0.5821392938617045,高风险
603021,山东华鹏,2021,2020,0.0,,,0.0532767430313611,0.0214763921826078,0.5968899193037047,0.5830431527721511,0.2767601685864136,0.077599288554784,-0.0520341338245204,603021.SH,*ST华鹏,家居用品,山东,20150423.0,0.6502186205064653,60.0,0.48,3,R2;R4;R5,0.5821311723038791,高风险
600112,天成控股,2016,2015,1.0,1.0,0.0,-0.1523052377730699,-0.0742293879721266,0.5126274771802262,0.7155480566510355,0.2817781787287322,-0.2634319957174086,0.4372036821200085,600112.SH,*ST天成(退),未分类,未知,19971127.0,0.6744792462311386,55.0,0.44,3,R1;R4;R5,0.5806875477386831,高风险
