Symbol,ShortName,violation_year,rule_score_sum,n_rules_triggered,rule_ids,industry,ann_fin_flag
300262,巴安水务,2021,55,3,R1;R4;R5,未分类,1.0
600811,*ST 东方,2025,55,3,R1;R4;R5,未分类,
300152,ST 新动力,2025,55,3,R1;R4;R5,环境保护,
600999,招商证券,2022,55,3,R2;R3;R5,证券,
601066,中信建投,2024,55,3,R2;R3;R5,证券,
600666,ST 瑞德,2018,55,3,R1;R4;R5,元器件,1.0
600807,ST 天业,2015,55,3,R2;R3;R5,医疗保健,1.0
600807,*ST 天业,2017,55,3,R2;R3;R5,医疗保健,1.0
601011,宝泰隆,2025,55,3,R1;R4;R5,焦炭加工,
600684,珠江实业,2020,55,3,R2;R3;R5,区域地产,
600209,退市罗顿,2022,55,3,R1;R4;R5,未分类,1.0
600986,科达股份,2014,55,3,R2;R3;R5,互联网,
601878,浙商证券,2017,55,3,R2;R3;R5,证券,
600172,黄河旋风,2019,55,3,R1;R4;R5,矿物制品,
601162,天风证券,2020,55,3,R2;R3;R5,证券,0.0
600393,粤泰股份,2016,55,3,R2;R3;R5,未分类,
300370,安控科技,2023,55,3,R1;R4;R5,电器仪表,1.0
300489,光智科技,2022,55,3,R2;R3;R5,专用机械,1.0
300077,国民技术,2019,55,3,R1;R4;R5,半导体,1.0
600275,*ST 昌鱼,2017,55,3,R1;R4;R5,未分类,
601211,国泰君安,2017,55,3,R2;R3;R5,证券,
300157,恒泰艾普,2021,55,3,R1;R4;R5,专用机械,
300152,新动力,2024,55,3,R1;R4;R5,环境保护,0.0
600837,海通证券,2018,55,3,R2;R3;R5,未分类,1.0
600172,黄河旋风,2021,55,3,R1;R4;R5,矿物制品,
600225,*ST 松江,2018,55,3,R2;R3;R5,未分类,0.0
600030,中信证券,2018,55,3,R2;R3;R5,证券,
600651,飞乐音响,2016,50,2,R2;R4,电器仪表,
300903,科翔股份,2022,50,2,R2;R4,元器件,0.0
600684,珠江股份,2021,50,3,R1;R3;R5,区域地产,
600704,物产中大,2017,50,2,R2;R4,仓储物流,
600076,青鸟华光,2008,50,3,R1;R3;R5,广告包装,1.0
600238,海南椰岛,2024,50,3,R1;R3;R5,红黄酒,
600077,*ST 宋都,2023,50,3,R1;R3;R5,未分类,
600010,包钢股份,2020,50,2,R2;R4,普钢,
600966,博汇纸业,2013,50,2,R2;R4,造纸,1.0
601162,天风证券,2023,50,3,R1;R3;R5,证券,1.0
300216,千山药机,2018,50,3,R1;R3;R5,未分类,1.0
600651,飞乐音响,2017,50,2,R2;R4,电器仪表,1.0
600281,华阳新材,2018,50,2,R2;R4,小金属,
601099,太平洋,2019,50,3,R1;R3;R5,证券,
300266,兴源环境,2019,50,3,R1;R3;R5,环境保护,1.0
600870,厦华电子,2017,50,3,R1;R3;R5,未分类,1.0
600444,ST 国通,2007,50,2,R2;R4,专用机械,
600139,西部资源,2019,50,3,R1;R3;R5,未分类,
600303,曙光股份,2017,50,2,R2;R4,汽车整车,
600540,新赛股份,2021,50,2,R2;R4,种植业,1.0
600818,中路股份,2018,50,2,R2;R4,文教休闲,
600306,*ST 商城,2024,50,3,R1;R3;R5,未分类,
600193,ST 创兴,2019,50,2,R2;R4,装修装饰,1.0
600775,南京熊猫,2009,50,2,R2;R4,通信设备,1.0
600166,福田汽车,2018,50,2,R2;R4,汽车整车,
600876,凯盛新能,2023,50,2,R2;R4,玻璃,1.0
600127,金健米业,2013,50,2,R2;R4,农业综合,1.0
600122,ST 宏图,2022,50,3,R1;R3;R5,未分类,
600122,ST 宏图,2021,50,3,R1;R3;R5,未分类,1.0
600810,神马股份,2016,50,2,R2;R4,化纤,
300393,中来股份,2021,50,2,R2;R4,塑料,
600322,天房发展,2021,50,3,R1;R3;R5,区域地产,0.0
600807,*ST 天业,2018,50,3,R1;R3;R5,医疗保健,
600333,长春燃气,2015,50,2,R2;R4,供气供热,1.0
600556,ST 慧球,2017,50,3,R1;R3;R5,互联网,
300426,唐德影视,2019,50,3,R1;R3;R5,影视音像,1.0
300337,银邦股份,2020,50,2,R2;R4,铝,
600086,东方金钰,2019,50,3,R1;R3;R5,未分类,
600322,津投城开,2023,50,3,R1;R3;R5,区域地产,1.0
600448,华纺股份,2025,45,2,R1;R4,纺织,
600455,博通股份,2015,45,3,R3;R4;R5,文教休闲,
600273,华芳纺织,2012,45,2,R1;R4,化工原料,0.0
300761,立华股份,2024,45,2,R1;R4,农业综合,
600421,*ST 仰帆,2012,45,3,R3;R4;R5,未分类,
600319,亚星化学,2010,45,2,R1;R4,化工原料,
300301,长方集团,2021,45,2,R1;R4,半导体,
300301,*ST 长方,2020,45,2,R1;R4,半导体,1.0
300301,*ST 长方,2019,45,2,R1;R4,半导体,1.0
600335,国机汽车,2015,45,2,R2;R3,汽车服务,
600818,中路股份,2020,45,2,R1;R4,文教休闲,1.0
600817,*ST 宏盛,2010,45,3,R3;R4;R5,专用机械,0.0
600792,云煤能源,2016,45,2,R1;R4,焦炭加工,1.0
603822,嘉澳环保,2023,45,2,R1;R4,化工原料,1.0
600807,济南高新,2023,45,2,R2;R3,医疗保健,
603815,交建股份,2021,45,2,R2;R3,建筑工程,
601005,重庆钢铁,2025,45,2,R1;R4,普钢,
600691,*ST 东碳,2009,45,3,R3;R4;R5,农药化肥,
600477,杭萧钢构,2012,45,2,R2;R3,钢加工,
600283,钱江水利,2014,45,3,R3;R4;R5,水务,
600289,*ST 信通,2020,45,2,R2;R3,软件服务,
300431,暴风集团,2018,45,2,R1;R4,未分类,
600973,宝胜股份,2021,45,2,R2;R3,电气设备,0.0
600970,中材国际,2014,45,2,R2;R3,建筑工程,1.0
600836,界龙实业,2016,45,2,R2;R3,未分类,
603880,南卫股份,2023,45,2,R1;R4,医疗保健,
300083,劲胜智能,2019,45,2,R1;R4,机床制造,0.0
688086,退市紫晶,2023,45,3,R3;R4;R5,未分类,0.0
300344,太空智造,2018,45,2,R1;R4,未分类,
600248,陕西建工,2021,45,2,R2;R3,建筑工程,
600385,ST 金泰,2013,45,3,R3;R4;R5,未分类,0.0
600680,*ST 上普,2016,45,2,R1;R4,未分类,0.0
600732,爱旭股份,2022,45,2,R1;R4,电气设备,
600971,恒源煤电,2016,45,2,R1;R4,煤炭开采,
600892,大晟文化,2022,45,2,R1;R4,互联网,
600712,南宁百货,2017,45,2,R1;R4,百货,1.0
600713,南京医药,2014,45,2,R2;R3,医药商业,0.0
300090,盛运退,2020,45,3,R3;R4;R5,未分类,1.0
600715,*ST 松辽,2013,45,2,R2;R3,影视音像,
600715,文投控股,2015,45,3,R3;R4;R5,影视音像,
600704,物产中大,2012,45,2,R2;R3,仓储物流,
300082,奥克股份,2025,45,2,R1;R4,化工原料,
300526,*ST 中潜,2023,45,2,R1;R4,未分类,
600704,物产中大,2009,45,2,R2;R3,仓储物流,
603876,鼎胜新材,2020,45,2,R2;R3,铝,1.0
600381,贤成矿业,2011,45,3,R3;R4;R5,医疗保健,0.0
300721,怡达股份,2021,45,2,R1;R4,化工原料,
300056,中创环保,2024,45,2,R1;R4,环境保护,
600701,*ST 工新,2008,45,2,R1;R4,未分类,1.0
600762,*ST 金荔,2006,45,3,R3;R4;R5,未分类,
300312,邦讯退,2021,45,3,R3;R4;R5,未分类,
300312,邦讯技术,2020,45,3,R3;R4;R5,未分类,1.0
300742,*ST 越博,2023,45,3,R3;R4;R5,未分类,
300362,天翔退,2020,45,3,R3;R4;R5,未分类,
600719,大连热电,2012,45,2,R1;R4,供气供热,1.0
600853,龙建股份,2018,45,2,R2;R3,建筑工程,1.0
600844,丹化科技,2023,45,2,R1;R4,化工原料,
600242,退市中昌,2023,45,3,R3;R4;R5,未分类,1.0
603996,*ST 中新,2021,45,3,R3;R4;R5,未分类,1.0
300912,凯龙高科,2023,45,2,R1;R4,汽车配件,
603616,韩建河山,2020,45,2,R1;R4,水泥,1.0
600303,曙光股份,2014,45,2,R1;R4,汽车整车,
603050,科林电气,2023,45,2,R2;R3,电气设备,
603603,*ST 博天,2017,45,2,R2;R3,未分类,1.0
600491,龙元建设,2018,45,2,R2;R3,建筑工程,
600136,*ST 明诚,2023,45,3,R3;R4;R5,房产服务,
600133,东湖高新,2013,45,2,R2;R3,环境保护,
300021,大禹节水,2024,45,2,R2;R3,建筑工程,
600596,新安股份,2016,45,2,R1;R4,化工原料,0.0
600119,*ST 长投,2018,45,2,R1;R4,仓储物流,0.0
600598,北大荒,2013,45,2,R1;R4,种植业,
600401,*ST 海润,2015,45,2,R1;R4,未分类,
600626,申达股份,2021,45,2,R1;R4,汽车配件,1.0
600234,山水文化,2014,45,3,R3;R4;R5,装修装饰,
601991,大唐发电,2014,45,3,R3;R4;R5,火力发电,
600603,ST 广物,2023,45,3,R3;R4;R5,区域地产,1.0
600093,易见股份,2021,45,3,R3;R4;R5,未分类,0.0
600086,*ST 金钰,2016,45,2,R2;R3,未分类,1.0
603665,康隆达,2024,45,2,R1;R4,服饰,
600293,三峡新材,2023,45,2,R1;R4,玻璃,
300198,纳川股份,2019,45,2,R1;R4,塑料,
601789,宁波建工,2015,45,2,R2;R3,建筑工程,
600069,银鸽投资,2012,45,2,R1;R4,未分类,1.0
600575,芜湖港,2013,45,2,R2;R3,火力发电,
600556,ST 慧球,2016,45,2,R2;R3,互联网,
600165,新日恒力,2015,45,2,R1;R4,化工原料,
600368,五洲交通,2013,45,2,R2;R3,路桥,
600509,天富热电,2007,45,3,R3;R4;R5,火力发电,
300118,东方日升,2022,45,2,R1;R4,电气设备,1.0
600220,江苏阳光,2013,45,2,R1;R4,未分类,0.0
300125,聆达股份,2023,45,2,R1;R4,电气设备,1.0
300128,锦富技术,2019,45,2,R1;R4,元器件,
603555,*ST 贵人,2019,45,2,R1;R4,未分类,1.0
603536,惠发食品,2025,45,2,R1;R4,食品,1.0
600221,海航控股,2019,45,2,R1;R4,空运,0.0
600186,莲花味精,2008,45,2,R1;R4,食品,1.0
600540,新赛股份,2014,45,2,R1;R4,种植业,1.0
600180,瑞茂通,2015,45,2,R2;R3,仓储物流,0.0
600359,新农开发,2009,45,2,R1;R4,种植业,
300149,睿智医药,2022,45,2,R1;R4,生物制药,
600175,美都能源,2014,45,2,R2;R3,未分类,
300117,嘉寓股份,2020,45,2,R2;R3,未分类,1.0
600546,山煤国际,2010,45,2,R2;R3,煤炭开采,0.0
688573,信宇人,2023,45,2,R2;R3,专用机械,1.0
603300,海南华铁,2025,45,3,R3;R4;R5,多元金融,
600306,退市商城,2023,45,3,R3;R4;R5,未分类,1.0
300117,嘉寓股份,2019,45,2,R2;R3,未分类,
603222,济民医疗,2021,45,2,R1;R4,医疗保健,
601558,华锐风电,2011,45,2,R2;R3,未分类,1.0
